Week,Year,Month,Day,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,IntLoc,code_dz,code_vcts,code_fg,code_tsra,code_bcfg,code_ts,code_ra,code_br,code_hz,code_fg+,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,species_UNSPECIFIED CULEX
24,2011,6,17,82,64,73,60,65.0,0.0,8.0,416,1929,0.0,29.18,29.81,5.3,7,6.2,3654.783846640511,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2007,8,2,91,73,82,66,72.0,0.0,17.0,446,1910,0.0,29.31,29.95,6.5,23,7.2,3666.4287861058497,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,2013,7,19,97,75,86,69,75.0,0.0,21.0,433,1923,0.05,29.17,29.82,13.4,24,13.9,3646.784216020617,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
36,2013,9,6,86,57,72,58,64.0,0.0,7.0,522,1819,0.0,29.38,30.11,4.7,20,6.0,3680.8596596404795,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2009,9,14,84,58,71,55,61.0,0.0,6.0,530,1805,0.0,29.34,30.07,0.1,33,2.1,3680.287414366544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2013,8,8,78,65,72,56,62.0,0.0,7.0,452,1903,0.0,29.26,29.98,8.6,5,9.3,3689.5848845516107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,2011,7,11,90,70,80,70,74.0,0.0,15.0,426,1928,0.13,29.18,29.81,5.3,24,8.0,3663.776733134232,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
34,2013,8,22,78,67,73,66,68.0,0.0,8.0,506,1843,0.36,29.42,30.05,2.5,24,7.0,3646.784216020617,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
31,2011,8,5,84,70,77,68,71.0,0.0,12.0,449,1907,0.05,29.26,29.91,5.2,7,6.0,3663.405102725412,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,2007,8,28,90,69,80,65,70.0,0.0,15.0,513,1834,0.0,29.34,29.98,7.8,21,8.3,3654.2506587422663,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,2013,7,12,83,58,71,53,61.0,0.0,6.0,427,1928,0.0,29.38,30.1,4.0,8,4.8,3680.287414366544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3664.446073533366,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3672.4283186474236,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3664.733055893271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2011,8,12,82,65,74,57,64.0,0.0,9.0,456,1858,0.0,29.28,29.93,8.2,19,8.4,3673.709200247026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,2009,8,13,86,63,75,55,63.0,0.0,10.0,457,1856,0.0,29.44,30.09,2.0,16,4.0,3673.709200247026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2009,6,12,74,49,62,49,55.0,3.0,0.0,416,1927,0.05,29.24,29.95,4.4,7,5.8,3684.626665494477,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
23,2013,6,7,68,54,61,44,52.0,4.0,0.0,417,1924,0.0,29.26,29.92,8.8,2,9.2,3675.272120998978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,2007,10,4,83,56,70,56,62.0,0.0,5.0,552,1729,0.0,29.39,30.03,4.6,17,5.9,3671.7654751203527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,2013,6,27,91,66,79,65,69.0,0.0,14.0,418,1931,0.59,29.08,29.71,6.1,29,6.8,3670.684491673382,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
29,2007,7,18,85,69,77,69,71.0,0.0,12.0,432,1924,0.92,29.18,29.83,10.3,24,10.6,3654.6296700550456,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3663.405102725412,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25,2009,6,19,88,66,77,68,70.0,0.0,12.0,416,1930,0.87,29.03,29.68,6.3,18,10.5,3668.6422583971694,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
26,2007,6,26,92,70,81,69,72.0,0.0,16.0,418,1931,0.16,29.39,30.11,6.1,22,7.1,3682.56550300201,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
37,2007,9,12,66,46,56,43,50.0,9.0,0.0,528,1809,0.0,29.46,30.11,1.9,5,6.0,3654.783846640511,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,2007,9,12,67,46,57,42,49.0,8.0,0.0,528,1809,0.0,29.4,30.12,1.8,3,5.6,3682.7226182016807,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2009,7,31,82,62,72,55,62.0,0.0,7.0,444,1913,0.0,29.29,29.92,5.9,27,6.7,3675.2658752732395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,2007,7,18,85,69,77,69,71.0,0.0,12.0,432,1924,0.92,29.18,29.83,10.3,24,10.6,3648.5498609373076,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
23,2009,6,2,61,50,56,47,51.0,9.0,0.0,419,1920,0.06,29.42,30.07,8.3,3,9.2,3671.944625710939,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
36,2013,9,6,85,62,74,55,63.0,0.0,9.0,522,1819,0.0,29.44,30.11,4.3,17,6.0,3669.7706704409725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,2007,9,25,83,67,75,66,69.0,0.0,10.0,542,1744,0.01,29.29,29.93,7.3,23,9.4,3646.784216020617,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2007,9,18,88,63,76,58,65.0,0.0,11.0,535,1756,0.0,29.34,30.06,12.9,19,13.1,3679.8484092478247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2007,8,21,87,69,78,70,72.0,0.0,13.0,505,1845,0.05,29.21,29.91,3.8,18,6.0,3684.483795662016,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
29,2009,7,17,70,58,64,52,57.0,1.0,0.0,431,1925,0.05,29.21,29.86,10.1,29,10.4,3671.944625710939,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
29,2013,7,19,96,71,84,70,75.0,0.0,19.0,433,1923,0.58,29.1,29.83,13.3,25,14.0,3680.2696538764753,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
26,2013,6,27,90,64,77,67,70.0,0.0,12.0,418,1931,0.92,29.01,29.73,7.2,29,7.2,3687.402467635193,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3673.709200247026,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
25,2011,6,24,68,60,64,56,59.0,1.0,0.0,417,1931,0.0,29.08,29.76,9.4,29,9.6,3680.141970730566,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,2009,9,17,71,54,63,51,57.0,2.0,0.0,533,1758,0.0,29.51,30.17,4.5,8,5.4,3654.2506587422663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,2013,7,12,83,58,71,53,61.0,0.0,6.0,427,1928,0.0,29.38,30.1,4.0,8,4.8,3687.402467635193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2013,6,14,78,56,67,51,57.0,0.0,2.0,416,1928,0.0,29.34,30.05,6.6,6,7.9,3683.66335909779,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,2013,7,25,81,58,70,52,60.0,0.0,5.0,438,1918,0.0,29.39,30.05,2.7,23,3.9,3669.21642511989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2013,8,8,79,69,74,55,62.0,0.0,9.0,452,1903,0.0,29.33,29.96,10.5,5,10.8,3654.6296700550456,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,2011,9,12,86,64,75,59,65.0,0.0,10.0,528,1809,0.0,29.24,29.9,9.2,23,9.3,3668.6422583971694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,2009,6,2,61,50,56,47,51.0,9.0,0.0,419,1920,0.06,29.42,30.07,8.3,3,9.2,3666.421227655561,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
28,2013,7,8,86,70,78,71,74.0,0.0,13.0,424,1929,0.5,29.24,29.95,7.8,23,8.4,3680.2696538764753,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
30,2011,7,25,88,73,81,66,71.0,0.0,16.0,438,1918,0.0,29.2,29.91,3.4,32,6.5,3681.8237813935375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,2009,7,6,85,63,74,54,63.0,0.0,9.0,423,1930,0.0,29.2,29.84,4.2,30,5.5,3651.888622424953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2007,8,7,92,73,83,73,76.0,0.0,18.0,451,1904,0.06,29.11,29.74,6.3,24,8.8,3677.449549854998,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,2007,6,29,70,56,63,55,59.0,2.0,0.0,419,1931,0.0,29.41,30.13,7.6,2,8.3,3682.7226182016807,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,2013,7,19,97,75,86,69,75.0,0.0,21.0,433,1923,0.05,29.17,29.82,13.4,24,13.9,3657.564651936412,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
32,2009,8,7,74,67,71,59,63.0,0.0,6.0,451,1904,0.23,29.41,30.08,6.4,15,7.2,3668.6422583971694,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
28,2009,7,10,82,63,73,64,67.0,0.0,8.0,425,1929,0.08,29.34,30.06,4.4,21,4.9,3680.2696538764753,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
32,2007,8,7,91,72,82,73,76.0,0.0,17.0,451,1904,1.31,29.06,29.76,6.2,25,9.0,3680.4772805268603,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
26,2009,6,22,89,70,80,67,71.0,0.0,15.0,417,1931,0.06,29.15,29.77,5.3,12,7.2,3669.8288628641917,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,2007,9,18,88,63,76,58,65.0,0.0,11.0,535,1756,0.0,29.34,30.06,12.9,19,13.1,3684.626665494477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2011,7,25,88,73,81,66,71.0,0.0,16.0,438,1918,0.0,29.2,29.91,3.4,32,6.5,3682.6828003446376,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3664.733055893271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2011,8,12,82,65,74,57,64.0,0.0,9.0,456,1858,0.0,29.28,29.93,8.2,19,8.4,3657.500444859872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3669.8288628641917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2011,8,12,82,65,74,57,64.0,0.0,9.0,456,1858,0.0,29.28,29.93,8.2,19,8.4,3674.392878274966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,2009,9,25,70,60,65,57,60.0,0.0,0.0,542,1744,0.16,29.39,30.12,5.4,11,7.3,3680.141970730566,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
39,2007,9,25,83,67,75,66,69.0,0.0,10.0,542,1744,0.01,29.29,29.93,7.3,23,9.4,3654.6296700550456,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2013,8,22,78,67,73,66,68.0,0.0,8.0,506,1843,0.36,29.42,30.05,2.5,24,7.0,3666.4287861058497,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
38,2007,9,18,88,63,76,58,65.0,0.0,11.0,535,1756,0.0,29.34,30.06,12.9,19,13.1,3684.626665494477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,2011,8,19,86,67,77,62,68.0,0.0,12.0,503,1848,0.0,29.23,29.87,4.7,13,5.8,3663.405102725412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,2009,6,19,86,65,76,67,69.0,0.0,11.0,416,1930,3.97,28.97,29.7,7.2,18,11.6,3683.1849211884255,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3659.3703944291997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,2007,9,18,89,66,78,57,65.0,0.0,13.0,535,1756,0.0,29.41,30.05,12.5,19,12.8,3668.1422695946285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,2011,6,10,69,51,60,56,57.0,5.0,0.0,416,1926,0.52,29.21,29.94,6.4,3,8.0,3679.89701023656,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
28,2013,7,12,82,60,71,54,62.0,0.0,6.0,427,1928,0.0,29.44,30.09,4.1,8,5.4,3669.21642511989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,2007,8,22,90,70,80,70,73.0,0.0,15.0,506,1843,0.88,29.29,29.93,5.1,21,8.4,3648.5498609373076,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
31,2009,7,31,82,62,72,55,62.0,0.0,7.0,444,1913,0.0,29.29,29.92,5.9,27,6.7,3678.784397208439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,2011,7,29,86,74,80,69,72.0,0.0,15.0,442,1915,0.36,29.34,29.96,3.5,4,5.6,3657.626074599295,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3667.2844205339643,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,2013,8,22,78,68,73,67,69.0,0.0,8.0,506,1843,0.23,29.36,30.05,1.5,23,7.0,3687.402467635193,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22,2009,5,28,64,55,60,51,54.0,5.0,0.0,421,1916,0.0,29.11,29.75,6.8,29,8.3,3650.584789869696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,2009,6,5,80,47,64,43,54.0,1.0,0.0,417,1923,0.0,29.23,29.91,6.3,25,7.2,3657.500444859872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,2013,9,26,75,55,65,52,58.0,0.0,0.0,543,1742,0.0,29.4,30.04,4.1,9,4.6,3651.888622424953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,2007,10,4,83,56,70,56,62.0,0.0,5.0,552,1729,0.0,29.39,30.03,4.6,17,5.9,3657.169309677578,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,92,69,81,62,69.0,0.0,16.0,445,1911,0.0,29.29,30.0,3.5,9,4.1,3689.1019532811074,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,2007,7,19,82,63,73,62,66.0,0.0,8.0,433,1923,0.01,29.26,29.88,7.7,36,14.4,3654.6296700550456,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3672.4283186474236,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
31,2007,8,2,91,73,82,66,72.0,0.0,17.0,446,1910,0.0,29.31,29.95,6.5,23,7.2,3657.290712347716,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,2009,6,12,72,50,61,49,55.0,4.0,0.0,416,1927,0.05,29.3,29.95,5.0,6,6.7,3677.449549854998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2011,7,25,88,73,81,66,71.0,0.0,16.0,438,1918,0.0,29.2,29.91,3.4,32,6.5,3682.7226182016807,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,2011,8,19,86,67,77,62,68.0,0.0,12.0,503,1848,0.0,29.23,29.87,4.7,13,5.8,3678.784397208439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,2009,7,17,70,58,64,52,57.0,1.0,0.0,431,1925,0.05,29.21,29.86,10.1,29,10.4,3677.8520553734706,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
38,2007,9,18,88,63,76,58,65.0,0.0,11.0,535,1756,0.0,29.34,30.06,12.9,19,13.1,3683.717949779934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,2009,8,25,83,59,71,61,65.0,0.0,6.0,510,1839,0.0,29.33,30.05,9.1,21,9.2,3683.66335909779,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,2007,10,4,83,56,70,56,62.0,0.0,5.0,552,1729,0.0,29.39,30.03,4.6,17,5.9,3670.444561419377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2007,8,7,91,72,82,73,76.0,0.0,17.0,451,1904,1.31,29.06,29.76,6.2,25,9.0,3686.3664752962677,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3654.783846640511,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
33,2007,8,15,80,71,76,67,70.0,0.0,11.0,459,1854,0.23,29.17,29.89,3.4,7,5.8,3683.263980478029,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
28,2009,7,6,85,63,74,54,63.0,0.0,9.0,423,1930,0.0,29.2,29.84,4.2,30,5.5,3657.881107191728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2007,8,21,85,69,77,70,72.0,0.0,12.0,505,1845,0.01,29.26,29.89,3.5,17,6.0,3671.679843362198,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,2013,8,1,81,61,71,57,62.0,0.0,6.0,445,1911,0.0,29.23,29.95,7.6,30,7.8,3680.2298361063613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2011,8,12,81,60,71,59,64.0,0.0,6.0,456,1858,0.0,29.22,29.94,8.3,19,8.5,3687.402467635193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,2007,7,18,85,69,77,69,71.0,0.0,12.0,432,1924,0.92,29.18,29.83,10.3,24,10.6,3666.1462892240665,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
38,2009,9,17,72,50,61,52,56.0,4.0,0.0,533,1758,0.0,29.45,30.18,3.4,5,4.2,3689.391014080005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,2007,7,18,85,69,77,68,71.0,0.0,12.0,432,1924,1.55,29.11,29.84,9.1,24,10.1,3680.287414366544,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
38,2009,9,17,72,50,61,52,56.0,4.0,0.0,533,1758,0.0,29.45,30.18,3.4,5,4.2,3685.515936681855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2009,6,12,74,49,62,49,55.0,3.0,0.0,416,1927,0.05,29.24,29.95,4.4,7,5.8,3682.7226182016807,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
30,2013,7,25,81,57,69,54,61.0,0.0,4.0,438,1918,0.0,29.33,30.05,4.1,23,5.1,3684.626665494477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2013,8,8,78,65,72,56,62.0,0.0,7.0,452,1903,0.0,29.26,29.98,8.6,5,9.3,3688.772818667652,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,2007,8,24,80,69,75,67,69.0,0.0,10.0,509,1840,0.24,29.11,29.82,5.8,25,7.1,3681.8237813935375,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3668.6422583971694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,2009,6,26,86,69,78,60,67.0,0.0,13.0,418,1931,0.0,29.284428571428588,29.85,6.4,4,8.2,3682.1319854233598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,2013,8,15,74,57,66,50,58.0,0.0,1.0,459,1854,0.0,29.47,30.13,4.5,22,5.0,3677.449549854998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,2011,9,16,59,48,54,38,47.0,11.0,0.0,532,1800,0.0,29.65,30.33,2.6,13,3.7,3675.2658752732395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,2009,6,2,61,50,56,47,51.0,9.0,0.0,419,1920,0.06,29.42,30.07,8.3,3,9.2,3657.881107191728,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
31,2009,7,31,81,58,70,54,61.0,0.0,5.0,444,1913,0.0,29.23,29.94,6.2,26,7.3,3689.1019532811074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,2009,7,6,85,63,74,54,63.0,0.0,9.0,423,1930,0.0,29.2,29.84,4.2,30,5.5,3669.8288628641917,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,2009,8,25,82,61,72,61,65.0,0.0,7.0,510,1839,0.0,29.39,30.04,8.3,21,8.6,3648.5498609373076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,2007,9,19,84,68,76,59,65.0,0.0,11.0,536,1755,0.0,29.47,30.09,3.5,25,9.0,3656.8064233263362,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,2011,7,15,86,71,79,60,67.0,0.0,14.0,429,1926,0.0,29.33,29.96,6.2,10,6.8,3675.2658752732395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2013,8,22,78,67,73,66,68.0,0.0,8.0,506,1843,0.36,29.42,30.05,2.5,24,7.0,3671.944625710939,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
26,2009,6,26,86,69,78,60,67.0,0.0,13.0,418,1931,0.0,29.284428571428588,29.85,6.4,4,8.2,3684.414695813668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2007,8,7,92,73,83,73,76.0,0.0,18.0,451,1904,0.06,29.11,29.74,6.3,24,8.8,3669.18217078712,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2009,9,14,84,58,71,55,61.0,0.0,6.0,530,1805,0.0,29.34,30.07,0.1,33,2.1,3679.89701023656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,2013,9,26,75,55,65,52,58.0,0.0,0.0,543,1742,0.0,29.4,30.04,4.1,9,4.6,3677.574508199739,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,2009,6,26,86,72,79,61,67.0,0.0,14.0,418,1931,0.0,29.2,29.83,6.4,4,8.0,3669.8288628641917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,2009,7,13,78,66,72,48,59.0,0.0,7.0,428,1927,0.0,29.41,30.05,5.8,7,7.4,3657.500444859872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,2013,7,25,81,57,69,54,61.0,0.0,4.0,438,1918,0.0,29.33,30.05,4.1,23,5.1,3681.8237813935375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2007,8,21,85,69,77,70,72.0,0.0,12.0,505,1845,0.01,29.26,29.89,3.5,17,6.0,3657.290712347716,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
39,2007,9,24,90,68,79,63,68.0,0.0,14.0,541,1746,0.0,29.27,29.99,11.4,19,11.9,3689.1019532811074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,2013,9,19,84,70,77,66,69.0,0.0,12.0,536,1755,0.05,29.21,29.87,7.8,16,10.0,3664.446073533366,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
33,2013,8,15,75,55,65,53,58.0,0.0,0.0,459,1854,0.0,29.4,30.13,4.2,24,4.9,3685.515936681855,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,2013,8,15,74,57,66,50,58.0,0.0,1.0,459,1854,0.0,29.47,30.13,4.5,22,5.0,3675.272120998978,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,2011,9,12,86,64,75,59,65.0,0.0,10.0,528,1809,0.0,29.18,29.91,10.5,23,10.9,3689.391014080005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,2011,7,29,86,74,80,69,72.0,0.0,15.0,442,1915,0.36,29.34,29.96,3.5,4,5.6,3677.574508199739,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23,2013,6,7,68,54,61,44,52.0,4.0,0.0,417,1924,0.0,29.26,29.92,8.8,2,9.2,3659.3703944291997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,2011,7,15,86,71,79,60,67.0,0.0,14.0,429,1926,0.0,29.33,29.96,6.2,10,6.8,3650.584789869696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,2007,5,29,88,65,77,59,66.0,0.0,12.0,421,1917,0.0,29.44,30.09,5.8,16,7.4,3675.118059928,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
26,2011,6,30,88,60,74,62,67.0,0.0,9.0,419,1931,0.05,29.28,30.0,8.2,17,9.4,3689.1812306437346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,2009,7,17,70,58,64,52,57.0,1.0,0.0,431,1925,0.05,29.21,29.86,10.1,29,10.4,3655.895215166151,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
